iter	Logloss
0	0.5475759079
1	0.490617633
2	0.4395009442
3	0.4120370478
4	0.3942135175
5	0.3794205101
6	0.3658563007
7	0.3582277426
8	0.3513621252
9	0.3434154782
10	0.3374811214
11	0.3324238383
12	0.3268927061
13	0.321023424
14	0.3177558737
15	0.3137914625
16	0.3100019184
17	0.3056070616
18	0.3034881593
19	0.302207526
20	0.2995678291
21	0.2967944687
22	0.2937963056
23	0.2917394145
24	0.2902671202
25	0.2879530016
26	0.2868467357
27	0.2850076135
28	0.283821522
29	0.2818677661
30	0.2798152311
31	0.2787877587
32	0.2777901779
33	0.2764497499
34	0.2758104177
35	0.2746631978
36	0.273852625
37	0.2728753241
38	0.2714436125
39	0.2703693936
40	0.2695663216
41	0.2679050558
42	0.2673149461
43	0.2655827212
44	0.2650430058
45	0.2644345578
46	0.2633190598
47	0.2621037803
48	0.2615951187
49	0.2606533792
50	0.2599277844
51	0.2595880465
52	0.2583617916
53	0.2577796603
54	0.2569075601
55	0.2556940827
56	0.2548913061
57	0.2542489313
58	0.2538200033
59	0.2521947044
60	0.2512008917
61	0.25038515
62	0.2498404335
63	0.2491581717
64	0.2487071927
65	0.247803618
66	0.2470830288
67	0.2464551909
68	0.2458115972
69	0.2452277559
70	0.2447102877
71	0.2441110497
72	0.2434325944
73	0.2429228995
74	0.2425563028
75	0.2419704586
76	0.2414469945
77	0.240662451
78	0.2403104903
79	0.2397169759
80	0.2388045255
81	0.2384493829
82	0.2377723514
83	0.2371478632
84	0.2367338142
85	0.2361966255
86	0.2357949449
87	0.2354033382
88	0.2348659508
89	0.2344663513
90	0.2339106933
91	0.2335909782
92	0.2329935673
93	0.2325932783
94	0.2319249728
95	0.2314532882
96	0.2306430643
97	0.2303764501
98	0.2300472493
99	0.2296936063
100	0.2290984306
101	0.228628898
102	0.2284032266
103	0.228009105
104	0.2275059625
105	0.2269465186
106	0.2263135009
107	0.2258043178
108	0.2254763349
109	0.224967328
110	0.2242552136
111	0.2234835456
112	0.2228268195
113	0.2226125906
114	0.2221484676
115	0.2213996254
116	0.2210126938
117	0.2207113318
118	0.2204334118
119	0.2199544648
120	0.2196083668
121	0.2187968905
122	0.2181088249
123	0.2172228938
124	0.2168571594
125	0.2165333156
126	0.2159188506
127	0.2156389312
128	0.2150755742
129	0.2147358548
130	0.2141509427
131	0.2136973502
132	0.2132597433
133	0.2128449234
134	0.2124400662
135	0.2120367454
136	0.2116570139
137	0.2110165478
138	0.2107136619
139	0.2104940495
140	0.2100817231
141	0.2095525532
142	0.2089895921
143	0.2085602838
144	0.2082363417
145	0.2079215316
146	0.2074962409
147	0.2070480328
148	0.2067550717
149	0.2064129646
150	0.2060187626
151	0.2056566377
152	0.2054190127
153	0.2050712623
154	0.2048240857
155	0.2043282991
156	0.2038955087
157	0.2034286946
158	0.2030016935
159	0.2027035078
160	0.2024011146
161	0.2020671645
162	0.2017327596
163	0.2014572478
164	0.2011536862
165	0.2007984585
166	0.2003459103
167	0.2000352152
168	0.1997580942
169	0.1994318495
170	0.199153804
171	0.1988612633
172	0.1986272784
173	0.1983616679
174	0.1978450221
175	0.1977666963
176	0.1975538312
177	0.1973349907
178	0.1969985229
179	0.1969054385
180	0.1963856319
181	0.1961001121
182	0.1958425825
183	0.1956400135
184	0.1952216729
185	0.1950255683
186	0.1947406236
187	0.194385524
188	0.1940696852
189	0.193794731
190	0.193320064
191	0.1928799501
192	0.1926349805
193	0.1922641337
194	0.19205277
195	0.1918018387
196	0.1916147722
197	0.1913737895
198	0.1911200727
199	0.1909300329
200	0.1906861299
201	0.1903575871
202	0.1902013254
203	0.1900919212
204	0.1897264794
205	0.1895362948
206	0.189186419
207	0.1890428111
208	0.1886119905
209	0.1883479398
210	0.188144533
211	0.18782283
212	0.1875008928
213	0.1871999357
214	0.1870006978
215	0.1865285422
216	0.1863630663
217	0.1861496288
218	0.1859565938
219	0.1856954648
220	0.1853897069
221	0.1849992874
222	0.1847342037
223	0.1843085344
224	0.1838717757
225	0.1836121442
226	0.1833614975
227	0.1831574223
228	0.1828746062
229	0.1826461649
230	0.1822633406
231	0.1818894869
232	0.1816096624
233	0.1813180629
234	0.1809082378
235	0.1806208032
236	0.180421763
237	0.1802248999
238	0.1799377506
239	0.1796842663
240	0.1794775084
241	0.1792840027
242	0.1788014628
243	0.1784683376
244	0.1782668209
245	0.1780820396
246	0.1778579541
247	0.1776493671
248	0.1773717672
249	0.1770383952
250	0.1768455888
251	0.1766574807
252	0.1763886052
253	0.1760057618
254	0.1757246297
255	0.1754130908
256	0.1752224342
257	0.1743984985
258	0.1740804417
259	0.1737303739
260	0.1735638831
261	0.1733781817
262	0.1732775593
263	0.1730257751
264	0.1729119815
265	0.1726210469
266	0.1723697077
267	0.1720736093
268	0.1718056514
269	0.1714649102
270	0.1712794479
271	0.1710488815
272	0.1708107894
273	0.1706297997
274	0.1703974321
275	0.1700292598
276	0.1698044159
277	0.1694632311
278	0.1692035888
279	0.1689617312
280	0.1688494524
281	0.168663302
282	0.1685060855
283	0.1683644455
284	0.1681219986
285	0.1679138084
286	0.1676208568
287	0.1673450925
288	0.1671685818
289	0.1669429933
290	0.166582724
291	0.1662470425
292	0.166106382
293	0.165698965
294	0.1655387526
295	0.1653255559
296	0.1650448705
297	0.164791838
298	0.1646996783
299	0.1644801406
300	0.164217286
301	0.1639455984
302	0.1637082134
303	0.1635507985
304	0.1632665995
305	0.1631363303
306	0.1628183115
307	0.1625393496
308	0.1621014668
309	0.1619341445
310	0.161791127
311	0.1616338956
312	0.1613042577
313	0.1610659524
314	0.1609294175
315	0.1607024998
316	0.1605317404
317	0.1603317354
318	0.1601123487
319	0.1597857001
320	0.1595526665
321	0.1593501818
322	0.1590714263
323	0.1587999757
324	0.1586363171
325	0.1585111913
326	0.1584097817
327	0.1581521286
328	0.1579118764
329	0.1576744083
330	0.1576007641
331	0.1573492155
332	0.1571625003
333	0.1569876477
334	0.1567331775
335	0.156383949
336	0.1562250312
337	0.1559509553
338	0.1557849395
339	0.1555284772
340	0.1554116687
341	0.1551820958
342	0.155025568
343	0.1547962577
344	0.1545093364
345	0.1541655723
346	0.1540150333
347	0.1539416186
348	0.1536801137
